,Park Name,Location
0,Acadia,Maine
1,American Samoa,American Samoa
2,Arches,Utah
3,Badlands,South Dakota
4,Big Bend,Texas
5,Biscayne,Florida
6,Black Canyon of the Gunnison,Colorado
7,Bryce Canyon,Utah
8,Canyonlands,Utah
9,Capitol Reef,Utah
10,Carlsbad Caverns,New Mexico
11,Channel Islands,California
12,Congaree,South Carolina
13,Crater Lake,Oregon
14,Cuyahoga Valley,Ohio
15,Death Valley,California
16,Denali,Alaska
17,Dry Tortugas,Florida
18,Everglades,Florida
19,Gates of the Arctic,Alaska
20,Gateway Arch,Missouri
21,Glacier,Montana
22,Glacier Bay,Alaska
23,Grand Canyon,Arizona
24,Grand Teton,Wyoming
25,Great Basin,Nevada
26,Great Sand Dunes,Colorado
27,Great Smoky Mountains,North Carolina
28,Guadalupe Mountains,Texas
29,Haleakalā,Hawaii
30,Hawaiʻi Volcanoes,Hawaii
31,Hot Springs,Arkansas
32,Indiana Dunes,Indiana
33,Isle Royale,Michigan
34,Joshua Tree,California
35,Katmai,Alaska
36,Kenai Fjords,Alaska
37,Kings Canyon,California
38,Kobuk Valley,Alaska
39,Lake Clark,Alaska
40,Lassen Volcanic,California
41,Mammoth Cave,Kentucky
42,Mesa Verde,Colorado
43,Mount Rainier,Washington
44,North Cascades,Washington
45,Olympic,Washington
46,Petrified Forest,Arizona
47,Pinnacles,California
48,Redwood,California
49,Rocky Mountain,Colorado
50,Saguaro,Arizona
51,Sequoia,California
52,Shenandoah,Virginia
53,Theodore Roosevelt,North Dakota
54,Virgin Islands,U.S. Virgin Islands
55,Voyageurs,Minnesota
56,White Sands,New Mexico
57,Wind Cave,South Dakota
58,Wrangell–St. Elias,Alaska
59,Yellowstone,Wyoming
60,Yosemite,California
61,Zion,Utah
